x y T T_exact
0.661765 0.957548 108.167 108.165
0.00849045 0.485294 52.6491 52.6479
0.455882 0.736796 125.291 125.273
0.39706 0.193423 222.891 222.771
0.059313 0.575742 65.5238 65.5216
0.617647 0.677363 149.437 149.413
0.470588 0.558497 149.541 149.503
0.558824 0.983019 102.35 102.346
0.720588 0.957548 109.928 109.928
0.338235 0.499064 137.553 137.509
0.647059 0.966038 106.245 106.243
0.967222 0.736053 192.826 192.823
0.117743 0.813278 76.441 76.4388
0.455882 0.533026 151.404 151.362
0.117655 0.660387 77.0657 77.06
0.676471 0.966038 106.862 106.859
0.455884 0.22737 219.291 219.179
0.367647 0.227369 206.776 206.662
0.176471 0.575478 94.4634 94.4458
0.573529 0.329255 203.741 203.662
0.5 0.966038 103.768 103.766
0.220588 0.346236 136.67 136.608
0.5 0.983019 101.884 101.88
0.83823 0.906602 134.066 134.066
0.705882 0.966038 107.567 107.564
0.691176 0.448121 189.237 189.191
0.220588 0.634911 99.7436 99.7268
0.441176 0.728306 124.632 124.613
0.676471 0.456612 186.921 186.875
0.617647 0.966038 105.692 105.689
0.441176 0.983019 101.413 101.408
0.0167534 0.441208 55.7669 55.7623
0.352941 0.218879 207.018 206.901
0.735294 0.966038 108.4 108.396
0.632353 0.702834 147.383 147.362
0.191176 0.600949 95.969 95.9519
0.411765 0.915096 105.91 105.905
0.99151 0.75 197.999 198.128
0.779412 0.957548 112.458 112.46
0.367998 0.0422498 280.747 280.736
0.0737349 0.550504 70.0821 70.0773
0.353736 0.0336311 284.117 284.108
0.0187368 0.353507 58.1354 58.1394
0.823529 0.966038 112.376 112.368
0.191176 0.634911 93.8224 93.8082
0.982311 0.528473 198.782 198.778
0.42654 0.0422692 282.931 282.928
0.0167336 0.499529 55.0603 55.0586
0.323529 0.473592 138.664 138.617
0.823527 0.915094 129.242 129.24
0.529412 0.0169809 294.067 294.085
0.441185 0.2019 225.603 225.485
0.529412 0.0339618 288.145 288.167
0.382363 0.0339508 284.997 284.992
0.147059 0.354726 110.219 110.181
0.558824 0.320764 204.504 204.422
0.794118 0.966038 110.694 110.688
0.382353 0.660382 124.479 124.455
0.838234 0.957547 116.648 116.655
0.117695 0.830226 77.015 77.0181
0.367647 0.685854 119.913 119.892
0.0175721 0.528719 55.0207 55.018
0.455882 0.0423629 283.721 283.733
0.558824 0.218879 230.562 230.45
0.514706 0.957548 104.999 104.996
0.352941 0.60944 125.636 125.607
0.983255 0.735703 196.33 196.323
0.397059 0.651892 127.424 127.398
0.588235 0.983019 102.592 102.594
0.235294 0.354726 139.255 139.197
0.588235 0.218879 232.114 232.007
0.441179 0.21888 220.196 220.083
0.0882681 0.575467 72.9723 72.9657
0.397059 0.634911 129.343 129.316
0.352941 0.62642 123.763 123.736
0.191176 0.702834 90.635 90.6255
0.382353 0.677363 122.732 122.709
0.176471 0.60944 92.2114 92.1968
0.964452 0.794644 189.579 189.595
0.0327635 0.499303 59.9019 59.8995
0.00824316 0.514235 52.4211 52.4266
0.558755 0.0678842 277.078 277.11
0.573529 0.227369 229.062 228.955
0.617647 0.218879 233.276 233.174
0.382353 0.864153 107.702 107.695
0.441188 0.0338448 286.66 286.667
0.323529 0.456612 141.468 141.419
0.9561 0.779486 188.205 188.182
0.470588 0.0339618 287.224 287.241
0.205882 0.660382 95.3328 95.319
0.382353 0.966038 101.812 101.811
0.338235 0.43114 148.985 148.93
0.455882 0.99151 100.766 100.754
0.426471 0.99151 100.644 100.664
0.647059 0.303783 213.76 213.683
0.00845795 0.455887 52.8165 52.8068
0.544049 0.0424129 285.429 285.451
0.661765 0.295293 216.147 216.07
0.411765 0.779248 116.638 116.624
0.838235 0.295293 214.246 214.197
0.602941 0.227369 230.479 230.376
0.00829547 0.426497 52.9632 52.9695
0.558824 0.966038 104.698 104.695
0.102991 0.65192 74.035 74.0311
0.544118 0.227369 227.251 227.14
0.941171 0.967149 132.533 132.526
0.485294 0.550006 152.725 152.684
0.14706 0.371706 107.575 107.536
0.99219 0.514133 199.525 199.556
0.529412 0.252841 219.141 219.038
0.470588 0.524535 154.737 154.692
0.911978 0.167803 225.227 225.16
0.382353 0.201898 217.816 217.696
0.514706 0.00849045 296.982 297
0.470614 0.201885 228.708 228.588
0.632353 0.227369 231.501 231.404
0.205882 0.62642 97.36 97.3437
0.500018 0.201898 231.343 231.221
0.720588 0.482083 186.134 186.097
0.338235 0.227369 201.298 201.184
0.0737146 0.58387 68.9945 68.99
0.397069 0.00847945 296.358 296.276
0.485294 0.957548 104.422 104.419
0.455882 0.787739 119.955 119.941
0.441176 0.762268 121.14 121.124
0.897059 0.99151 105.336 105.189
0.397059 0.600949 133.424 133.392
0.382353 0.218879 212.046 211.931
0.132361 0.651896 80.5523 80.545
0.926404 0.958534 132.801 132.828
0.323529 0.252841 189.792 189.688
0.455882 0.80472 118.245 118.232
0.397059 0.957548 102.601 102.598
0.00940665 0.897069 53.31 53.2384
0.981468 0.558739 198.369 198.37
0.64681 0.017627 294.228 294.239
0.5 0.0169809 293.859 293.859
0.338235 0.448121 145.907 145.854
0.558824 0.0169809 294.232 294.229
0.573052 0.0591576 280.221 280.237
0.455882 0.550006 148.827 148.787
0.0409796 0.485486 62.7324 62.7311
0.220588 0.651892 98.6523 98.6368
0.117665 0.62643 78.176 78.169
0.426471 0.787739 117.278 117.264
0.941128 0.983239 117.702 117.697
0.838235 0.278312 216.803 216.754
0.514706 0.99151 101 101.003
0.0167794 0.411914 56.2081 56.2068
0.544049 0.0593938 279.64 279.678
0.455882 0.600949 141.61 141.577
0.382363 0.0169699 292.49 292.476
0.647059 0.252841 225.526 225.438
0.397059 0.499064 147.916 147.869
0.983124 0.794247 195.035 195.034
0.411844 0.0338571 285.923 285.922
0.426471 0.499064 152.552 152.504
0.411765 0.62642 132.399 132.37
0.016803 0.205878 62.7954 62.7855
0.544118 0.24435 222.577 222.472
0.838231 0.889621 139.005 139.006
0.308824 0.634911 115.789 115.766
0.205882 0.711325 93.0003 92.9898
0.984533 0.499145 199.206 199.196
0.147061 0.626422 84.8169 84.8066
0.983019 0.764706 195.714 195.711
0.161765 0.600949 89.4447 89.4309
0.147062 0.609441 85.6421 85.6307
0.411765 0.507554 148.907 148.863
0.367647 0.499064 142.922 142.877
0.102948 0.855667 75.4424 75.4482
0.5 0.0339618 287.73 287.753
0.205882 0.269822 150.946 150.863
0.691176 0.193408 240.927 240.835
0.92776 0.296119 207.376 207.347
0.441176 0.60944 138.536 138.505
0.529412 0.983019 102.115 102.117
0.382353 0.507554 144.126 144.082
0.426471 0.600949 137.638 137.606
0.983681 0.470239 199.455 199.466
0.235294 0.303783 151.313 151.24
0.573052 0.0421767 285.866 285.873
0.852937 0.881131 144.188 144.185
0.367647 0.600949 128.948 128.918
0.205882 0.677363 94.4594 94.4471
0.647059 0.42265 190.508 190.454
0.0173831 0.942486 59.7143 59.7234
0.632353 0.24435 227.185 227.092
0.558824 0.507554 168.132 168.087
0.382353 0.60944 130.193 130.163
0.426471 0.753777 120.486 120.47
0.705882 0.456612 188.869 188.826
0.411765 0.762268 118.16 118.145
0.794118 0.269822 220.707 220.645
0.308824 0.651892 114.249 114.227
0.220588 0.295293 148.871 148.794
0.102969 0.397134 88.6936 88.6717
0.983196 0.823696 194.15 194.142
0.205883 0.167936 189.307 189.167
0.17648 0.117006 205.839 205.658
0.992343 0.485012 199.674 199.675
0.485294 0.0424522 284.379 284.403
0.0419847 0.0726069 133.083 133.274
0.661765 0.43114 190.062 190.012
0.338235 0.634911 120.57 120.545
0.529412 0.320764 201.873 201.789
0.514708 0.22737 225.034 224.921
0.991347 0.573811 199.162 199.191
0.990121 0.543752 199.222 199.201
0.544118 0.533026 162.433 162.392
0.10299 0.838717 74.5152 74.5123
0.661765 0.448121 187.247 187.198
0.235294 0.711325 98.0887 98.0763
0.544118 0.00849045 297.075 297.044
0.588235 0.524535 168.498 168.455
0.00883359 0.368279 53.6908 53.6964
0.573529 0.00849045 297.146 297.209
0.0882353 0.864153 72.9611 72.9572
0.897059 0.295293 210.166 210.132
0.588235 0.932076 110.324 110.321
0.0735294 0.855662 69.095 69.1025
0.397127 0.0423752 281.883 281.875
0.455882 0.957548 103.837 103.834
0.117654 0.864158 78.8591 78.8566
0.823529 0.269822 219.13 219.073
0.0333024 0.0886166 107.259 107.053
0.558755 0.0339224 288.488 288.503
0.00831255 0.191173 56.8623 56.8736
0.676471 0.354726 204.528 204.466
0.161786 0.125474 194.036 193.882
0.13241 0.753811 78.5424 78.5406
0.470588 0.320764 195.356 195.27
0.485294 0.00849045 296.866 296.884
0.147116 0.762301 81.3285 81.3241
0.928116 0.175487 220.045 219.984
0.0173176 0.383107 56.9178 56.9118
0.11766 0.983027 96.2052 96.1928
0.5 0.320764 198.832 198.746
0.470588 0.0169809 293.605 293.62
0.191177 0.176427 179.643 179.524
0.794118 0.252841 223.936 223.873
0.0592891 0.559331 65.9461 65.9438
0.764706 0.915096 122.802 122.798
0.323529 0.983019 100.322 100.319
0.991581 0.838272 196.762 196.612
0.587885 0.0167785 294.42 294.428
0.13236 0.838687 80.0908 80.0881
0.0169269 0.0883288 80.048 80.0577
0.338235 0.24435 195.646 195.537
0.852941 0.303783 212.238 212.197
0.966676 0.882447 182.616 182.647
0.323529 0.62642 119.053 119.028
0.691176 0.753777 146.058 146.043
0.573529 0.346236 199.976 199.9
0.808824 0.278312 218.493 218.438
0.235294 0.983019 99.1907 99.1884
0.691176 0.583968 169.757 169.729
0.956519 0.810089 186.205 186.225
0.220588 0.278312 153.564 153.486
0.161765 0.787739 84.0223 84.0176
0.13236 0.855667 80.9482 80.9512
0.983074 0.882258 191.034 191.018
0.587476 0.0335233 288.863 288.864
0.991614 0.808953 197.309 197.471
0.294118 0.660382 111.126 111.106
0.514706 0.0424522 284.952 284.979
0.147116 0.779282 81.3554 81.3539
0.928247 0.600446 191.912 191.896
0.735294 0.779248 147.002 146.99
0.764706 0.932076 118.478 118.478
0.911765 0.303783 208.152 208.125
0.0737783 0.838831 68.2835 68.2797
0.966773 0.824435 188.476 188.474
0.0187943 0.322649 58.9952 58.9841
0.32287 0.116475 242.68 242.502
0.867647 0.295293 212.412 212.37
0.705882 0.575478 172.281 172.251
0.220588 0.702834 95.9476 95.936
0.981959 0.706531 196.541 196.549
0.0722366 0.396296 77.5428 77.5145
0.705882 0.728306 151.466 151.449
0.867647 0.176427 232.17 232.103
0.867647 0.193408 228.582 228.512
0.191176 0.685854 91.2916 91.2806
0.661765 0.227369 232.12 232.029
0.852935 0.932073 128.028 128.032
0.882238 0.0166559 290.306 290.28
0.191179 0.142466 196.702 196.544
0.808824 0.227369 228.107 228.042
0.0408875 0.161758 89.0707 89.0573
0.102995 0.380166 90.4525 90.4307
0.0432306 0.456087 64.3185 64.3237
0.705882 0.779248 143.666 143.653
0.85294 0.779249 164.686 164.677
0.191176 0.957548 96.0898 96.0879
0.617047 0.0174246 294.278 294.273
0.735294 0.881134 127.971 127.966
0.75 0.906605 123.595 123.593
0.632104 0.00913651 297.005 297.1
0.352941 0.42265 153.506 153.447
0.691176 0.736796 148.603 148.589
0.235294 0.371707 135.756 135.698
0.529414 0.218879 228.614 228.499
0.147059 0.81321 81.8316 81.8282
0.705882 0.473592 186.359 186.318
0.441176 0.779248 119.458 119.443
0.0170445 0.235147 61.3235 61.317
0.352941 0.405669 156.863 156.802
0.0332233 0.147105 85.1683 85.0937
0.514706 0.329255 198.38 198.298
0.470593 0.218878 223.462 223.348
0.735294 0.0333366 288.525 288.5
0.0333858 0.117896 93.8413 93.7091
0.838234 0.787739 160.654 160.65
0.927655 0.583256 192.602 192.596
0.852932 0.91509 133.95 133.952
0.352941 0.507554 138.987 138.945
0.735294 0.864153 131.499 131.492
0.191176 0.651892 92.8866 92.8737
0.544118 0.889624 114.438 114.431
0.235294 0.728306 97.351 97.3401
0.323529 0.42265 147.542 147.485
0.117656 0.371702 96.9105 96.8802
0.0882353 0.881134 74.3475 74.3585
0.103801 0.498653 80.9399 80.9235
0.514725 0.193408 235.059 234.934
0.529412 0.303783 205.98 205.892
0.132353 0.99151 98.3732 98.4728
0.958732 0.868145 181.017 181.018
0.794118 0.303783 214.735 214.682
0.573529 0.957548 106.167 106.164
0.308305 0.125634 236.167 235.996
0.0579739 0.161752 104.362 104.28
0.632353 0.906605 116.194 116.189
0.294118 0.983019 99.9897 99.9892
0.220588 0.329255 140.444 140.382
0.132403 0.0914933 203.283 203.09
0.558824 0.524535 165.403 165.36
0.161765 0.80472 84.1957 84.194
0.485294 0.329255 195.083 195.001
0.911655 0.966134 123.496 123.461
0.705882 0.016146 294.57 294.593
0.294118 0.830191 101.767 101.759
0.808824 0.24435 224.712 224.648
0.147064 0.0660479 232.506 232.271
0.294118 0.42265 141.069 141.015
0.897015 0.14249 234.343 234.252
0.132408 0.804758 78.9931 78.9939
0.735294 0.0163558 294.355 294.339
0.264706 0.983019 99.6171 99.6146
0.0169732 0.11766 72.6835 72.6923
0.0412708 0.103478 110.259 110.17
0.691176 0.940567 112.517 112.513
0.0883288 0.983073 94.5485 94.5512
0.367647 0.380198 165.078 165.01
0.588235 0.660382 148.749 148.724
0.647059 0.218879 234.042 233.946
0.485294 0.940567 106.195 106.191
0.514706 0.24435 220.232 220.125
0.308824 0.24435 189.235 189.127
0.808824 0.838682 146.192 146.19
0.411786 0.0169422 292.946 292.951
0.220588 0.397178 126.797 126.748
0.426471 0.889624 108.549 108.543
0.99151 0.867647 195.961 196.163
0.00844418 0.0736095 68.591 68.1981
0.176471 0.303783 131.185 131.128
0.161765 0.329255 120.211 120.165
0.088554 0.371523 85.8429 85.8209
0.132386 0.0745224 218.061 217.849
0.176471 0.779248 86.5261 86.5222
0.161765 0.295293 127.479 127.418
0.338235 0.99151 100.237 100.195
0.573529 0.600949 155.518 155.485
